fips,ST,lat,lng,population,Recip_County,Vax_Pct,date,county,cases,deaths,Unemployment_rate_2021,Median_Household_Income_2020
13135,GA,33.9617,-84.0236,926414,Gwinnett County,56.1,2022-09-14,Gwinnett,241015.0,1988.0,3.5,73460
17043,IL,41.852,-88.0856,926005,DuPage County,78.1,2022-09-14,DuPage,264311.0,1871.0,4.5,92101
36029,NY,42.7639,-78.7323,918873,Erie County,71.1,2022-09-14,Erie,249049.0,2750.0,5.5,59584
24033,MD,38.8295,-76.8473,910551,Prince George's County,76.9,2022-09-14,Prince George's,206063.0,2245.0,7.5,85246
6029,CA,35.3426,-118.7301,892458,Kern County,54.8,2022-09-14,Kern,282623.0,2532.0,10.0,58583
9003,CT,41.8064,-72.7329,892153,Hartford County,77.4,2022-09-14,Hartford,214161.0,3266.0,6.5,73476
53053,WA,47.0241,-122.1046,891862,Pierce County,66.9,2022-09-14,Pierce,227216.0,1508.0,6.1,80236
6075,CA,37.7558,-122.4449,874784,San Francisco County,85.3,2022-09-14,San Francisco,188454.0,1022.0,5.0,121722
26099,MI,42.6957,-82.9323,870893,Macomb County,57.3,2022-09-14,Macomb,272220.0,4184.0,5.9,64870
48121,TX,33.2055,-97.1168,861690,Denton County,62.1,2022-09-14,Denton,209895.0,1392.0,4.4,90880
48215,TX,26.3967,-98.1811,861137,Hidalgo County,77.9,2022-09-14,Hidalgo,247706.0,3987.0,9.3,46653
9009,CT,41.4106,-72.9321,855733,New Haven County,79.8,2022-09-14,New Haven,233223.0,2944.0,6.6,72517
6111,CA,34.4561,-119.0836,845599,Ventura County,73.3,2022-09-14,Ventura,221735.0,1558.0,6.2,90961
48141,TX,31.7686,-106.2348,836915,El Paso County,83.7,2022-09-14,El Paso,237570.0,3799.0,6.2,48522
24005,MD,39.4627,-76.6393,828193,Baltimore County,74.2,2022-09-14,Baltimore,156670.0,2610.0,5.7,79974
42091,PA,40.2108,-75.3673,827180,Montgomery County,80.5,2022-09-14,Montgomery,181575.0,2438.0,5.0,94094
25027,MA,42.3514,-71.9077,826655,Worcester County,71.9,2022-09-14,Worcester,221053.0,2737.0,5.9,77931
34023,NJ,40.4392,-74.4117,825015,Middlesex County,75.2,2022-09-14,Middlesex,243552.0,2938.0,5.7,95610
39061,OH,39.1955,-84.5428,815790,Hamilton County,63.8,2022-09-14,Hamilton,218291.0,2121.0,4.9,63919
53061,WA,48.0475,-121.6975,811572,Snohomish County,72.0,2022-09-14,Snohomish,189662.0,1284.0,5.0,93589
41051,OR,45.5468,-122.4148,809869,Multnomah County,80.6,2022-09-14,Multnomah,156063.0,1378.0,5.6,74707
25025,MA,42.3334,-71.0719,801162,Suffolk County,75.0,2022-09-14,Suffolk,248866.0,2072.0,6.0,85221
34013,NJ,40.7872,-74.2471,798698,Essex County,74.6,2022-09-14,Essex,260144.0,3673.0,8.0,65528
40109,OK,35.5515,-97.4072,792668,Oklahoma County,67.0,2022-09-14,Oklahoma,227124.0,2542.0,4.1,55332
48157,TX,29.5275,-95.7709,790892,Fort Bend County,72.9,2022-09-14,Fort Bend,231182.0,1286.0,5.9,97210
25009,MA,42.6732,-70.952,787038,Essex County,76.1,2022-09-14,Essex,235947.0,2879.0,6.4,88269
21111,KY,38.1872,-85.6591,768419,Jefferson County,65.3,2022-09-14,Jefferson,275639.0,2503.0,4.8,62067
6081,CA,37.4229,-122.329,765623,San Mateo County,85.7,2022-09-14,San Mateo,176652.0,826.0,4.6,132369
13067,GA,33.9415,-84.5767,756653,Cobb County,59.5,2022-09-14,Cobb,204015.0,1953.0,3.3,81517
12071,FL,26.5779,-81.8337,756570,Lee County,63.3,2022-09-14,Lee,225766.0,2365.0,4.2,66140
13089,GA,33.7715,-84.2264,755287,DeKalb County,57.8,2022-09-14,DeKalb,180614.0,1837.0,4.6,69545
6077,CA,37.9348,-121.2714,751615,San Joaquin County,60.9,2022-09-14,San Joaquin,209815.0,2303.0,8.7,70685
36055,NY,43.1464,-77.6961,743084,Monroe County,73.7,2022-09-14,Monroe,177271.0,1700.0,5.2,61358
8031,CO,39.762,-104.8758,715878,Denver County,77.6,2022-09-14,Denver,209458.0,1430.0,5.9,75355
8041,CO,38.8321,-104.5255,710499,El Paso County,66.2,2022-09-14,El Paso,220274.0,1790.0,5.6,72459
12105,FL,27.9489,-81.6977,705735,Polk County,58.5,2022-09-14,Polk,243113.0,3218.0,5.4,54591
25021,MA,42.1605,-71.2114,703740,Norfolk County,81.1,2022-09-14,Norfolk,158964.0,2019.0,5.1,106348
11001,DC,38.9047,-77.0163,701974,District of Columbia,75.3,2022-09-14,District of Columbia,167242.0,1382.0,6.6,91957
29095,MO,39.0085,-94.3461,700733,Jackson County,58.8,2022-09-14,Jackson,108986.0,1261.0,5.5,56398
17097,IL,42.3233,-88.0037,699682,Lake County,80.0,2022-09-14,Lake,189614.0,1528.0,5.3,100325
47037,TN,36.1695,-86.7847,690540,Davidson County,66.7,2022-09-14,Davidson,238425.0,1749.0,4.2,64418
17197,IL,41.445,-87.9786,689704,Will County,68.8,2022-09-14,Will,198128.0,1679.0,5.7,90349
35001,NM,35.0514,-106.6702,679037,Bernalillo County,71.8,2022-09-14,Bernalillo,178780.0,2072.0,6.2,56632
34017,NJ,40.7371,-74.0779,671923,Hudson County,79.8,2022-09-14,Hudson,212147.0,2777.0,6.8,77323
1073,AL,33.5543,-86.8964,658615,Jefferson County,59.9,2022-09-14,Jefferson,216936.0,2437.0,3.6,57802
26081,MI,43.0322,-85.5493,652617,Kent County,62.3,2022-09-14,Kent,189488.0,1649.0,4.7,65012
40143,OK,36.1211,-95.9415,650291,Tulsa County,63.6,2022-09-14,Tulsa,194289.0,2236.0,4.0,58863
8005,CO,39.6498,-104.3392,649980,Arapahoe County,69.7,2022-09-14,Arapahoe,187452.0,1366.0,5.8,82381
44007,RI,41.8721,-71.58,636161,Providence County,72.1,2022-09-14,Providence,253786.0,2596.0,6.0,67752
42017,PA,40.337,-75.1069,627668,Bucks County,76.1,2022-09-14,Bucks,142263.0,2011.0,5.3,92441
49049,UT,40.1199,-111.6703,621506,Utah County,59.2,2022-09-14,Utah,218053.0,836.0,2.3,81804
34025,NJ,40.2603,-74.2213,620821,Monmouth County,69.6,2022-09-14,Monmouth,199444.0,2275.0,5.5,104219
24510,MD,39.3051,-76.6144,602274,Baltimore city,65.9,2022-09-14,Baltimore city,135533.0,1861.0,7.6,51485
34029,NJ,39.8855,-74.2813,602018,Ocean County,55.7,2022-09-14,Ocean,191845.0,3117.0,6.0,78181
20091,KS,38.8838,-94.8223,597574,Johnson County,78.7,2022-09-14,Johnson,167338.0,1258.0,2.7,91799
41067,OR,45.5601,-123.0983,595761,Washington County,77.6,2022-09-14,Washington,112561.0,697.0,4.4,85385
12009,FL,28.2936,-80.7323,594001,Brevard County,65.9,2022-09-14,Brevard,164026.0,2321.0,4.0,65871
48339,TX,30.3002,-95.503,590188,Montgomery County,55.7,2022-09-14,Montgomery,163592.0,1332.0,5.8,85348
8059,CO,39.5864,-105.2505,578795,Jefferson County,78.9,2022-09-14,Jefferson,150245.0,1441.0,5.0,90097
24003,MD,39.0065,-76.6051,575421,Anne Arundel County,78.5,2022-09-14,Anne Arundel,109082.0,1164.0,4.7,105979
48491,TX,30.6475,-97.6004,570437,Williamson County,69.6,2022-09-14,Williamson,157674.0,951.0,4.0,91507
31055,NE,41.2954,-96.1543,565739,Douglas County,68.4,2022-09-14,Douglas,168837.0,1180.0,3.0,65788
42045,PA,39.9167,-75.3991,565328,Delaware County,78.1,2022-09-14,Delaware,128951.0,1934.0,6.3,75174
25005,MA,41.7972,-71.1144,563301,Bristol County,67.7,2022-09-14,Bristol,168380.0,2263.0,6.5,71998
10003,DE,39.5768,-75.6527,558306,New Castle County,70.8,2022-09-14,New Castle,173462.0,1493.0,5.3,75145
34039,NJ,40.6601,-74.3087,555208,Union County,73.2,2022-09-14,Union,174774.0,2424.0,6.7,83189
27123,MN,45.0171,-93.0996,546598,Ramsey County,73.3,2022-09-14,Ramsey,146219.0,1412.0,3.8,66123
6099,CA,37.5591,-120.9977,546235,Stanislaus County,55.8,2022-09-14,Stanislaus,157552.0,1726.0,8.4,64501
12127,FL,29.0583,-81.1819,546107,Volusia County,60.7,2022-09-14,Volusia,140976.0,2162.0,4.6,55463
42071,PA,40.0424,-76.2477,543050,Lancaster County,61.4,2022-09-14,Lancaster,136424.0,1962.0,4.9,73006
55025,WI,43.0673,-89.4181,542459,Dane County,84.4,2022-09-14,Dane,163314.0,568.0,2.8,74829
39153,OH,41.126,-81.5322,540810,Summit County,64.6,2022-09-14,Summit,130451.0,1760.0,5.4,60715
12101,FL,28.3091,-82.3932,539885,Pasco County,60.2,2022-09-14,Pasco,149414.0,2104.0,4.4,52332
37081,NC,36.0795,-79.7889,532956,Guilford County,65.8,2022-09-14,Guilford,143465.0,1327.0,5.6,55577
39113,OH,39.7547,-84.2907,531988,Montgomery County,57.4,2022-09-14,Montgomery,146953.0,2079.0,5.6,54692
17089,IL,41.9388,-88.4286,531756,Kane County,68.1,2022-09-14,Kane,152648.0,1213.0,5.9,83784
42029,PA,39.9731,-75.7484,521980,Chester County,81.4,2022-09-14,Chester,107973.0,1223.0,4.2,107491
25023,MA,41.9512,-70.8114,518597,Plymouth County,71.8,2022-09-14,Plymouth,131813.0,1762.0,6.1,88420
45045,SC,34.8941,-82.3706,516126,Greenville County,56.6,2022-09-14,Greenville,193120.0,2045.0,3.4,62475
20173,KS,37.6848,-97.461,515416,Sedgwick County,56.8,2022-09-14,Sedgwick,161079.0,1487.0,4.6,59789
53063,WA,47.6207,-117.404,513402,Spokane County,62.6,2022-09-14,Spokane,142831.0,1516.0,5.4,60827
8001,CO,39.8737,-104.3379,509844,Adams County,69.8,2022-09-14,Adams,159045.0,1447.0,6.2,73615
34007,NJ,39.8035,-74.9597,506721,Camden County,70.9,2022-09-14,Camden,151139.0,1895.0,6.8,71718
34031,NJ,41.0343,-74.3008,502763,Passaic County,71.7,2022-09-14,Passaic,171722.0,2388.0,8.4,64422
6097,CA,38.5289,-122.8881,496801,Sonoma County,79.7,2022-09-14,Sonoma,111036.0,521.0,5.5,87366
34027,NJ,40.862,-74.5445,492715,Morris County,79.1,2022-09-14,Morris,147800.0,1611.0,5.0,114103
18089,IN,41.4167,-87.3821,485983,Lake County,59.0,2022-09-14,Lake,123781.0,1893.0,6.1,59158
19153,IA,41.6855,-93.5735,485418,Polk County,68.9,2022-09-14,Polk,140274.0,1154.0,4.5,67821
53011,WA,45.7791,-122.4826,481950,Clark County,66.2,2022-09-14,Clark,104658.0,911.0,5.5,76929
16001,ID,43.4511,-116.2412,469473,Ada County,65.9,2022-09-14,Ada,151552.0,1066.0,3.3,73324
51153,VA,38.7029,-77.4809,466834,Prince William County,74.5,2022-09-14,Prince William,116131.0,776.0,4.0,111117
12117,FL,28.717,-81.2363,466695,Seminole County,63.1,2022-09-14,Seminole,124520.0,1198.0,4.1,71930
25013,MA,42.1351,-72.6316,466647,Hampden County,67.7,2022-09-14,Hampden,155085.0,1897.0,7.6,61600
47093,TN,35.9932,-83.9371,466184,Knox County,61.1,2022-09-14,Knox,147277.0,1482.0,3.3,57886
32031,NV,40.6656,-119.6643,464182,Washoe County,65.6,2022-09-14,Washoe,121612.0,1269.0,4.3,75232
6107,CA,36.2202,-118.8005,463955,Tulare County,55.3,2022-09-14,Tulare,156818.0,1529.0,10.7,62058
36067,NY,43.0058,-76.1946,461591,Onondaga County,74.8,2022-09-14,Onondaga,131673.0,1121.0,4.9,63963
51810,VA,36.7335,-76.0435,450882,Virginia Beach city,63.4,2022-09-14,Virginia Beach city,105732.0,893.0,3.7,73961
42133,PA,39.92,-76.7265,447628,York County,60.8,2022-09-14,York,134827.0,1565.0,5.4,71655
4021,AZ,32.9044,-111.3448,447559,Pinal County,55.4,2022-09-14,Pinal,146915.0,1725.0,4.7,66992
34005,NJ,39.8777,-74.6681,446301,Burlington County,76.5,2022-09-14,Burlington,125715.0,1287.0,5.3,92471
6083,CA,34.6729,-120.0169,444895,Santa Barbara County,72.4,2022-09-14,Santa Barbara,111444.0,717.0,5.8,86136
6095,CA,38.27,-121.9329,444538,Solano County,69.7,2022-09-14,Solano,111460.0,461.0,7.5,83678
22033,LA,30.5383,-91.0956,443158,East Baton Rouge Parish,57.0,2022-09-14,East Baton Rouge,128568.0,1390.0,5.3,57099
22051,LA,29.7872,-90.1274,434903,Jefferson Parish,66.6,2022-09-14,Jefferson,133192.0,1396.0,6.0,58586
6053,CA,36.2171,-121.2388,432977,Monterey County,74.3,2022-09-14,Monterey,114272.0,779.0,8.3,85031
39095,OH,41.6197,-83.659,430319,Lucas County,59.0,2022-09-14,Lucas,115542.0,1452.0,6.2,51642
12115,FL,27.1845,-82.3315,427766,Sarasota County,71.3,2022-09-14,Sarasota,111917.0,1833.0,3.8,66138
27037,MN,44.6719,-93.0654,425271,Dakota County,71.0,2022-09-14,Dakota,127158.0,816.0,3.1,90562
48061,TX,26.1333,-97.5182,422135,Cameron County,80.0,2022-09-14,Cameron,124263.0,2076.0,8.2,44440
42011,PA,40.4163,-75.926,419062,Berks County,62.5,2022-09-14,Berks,115894.0,1659.0,6.6,70057
33011,NH,42.9153,-71.7161,415305,Hillsborough County,65.4,2022-09-14,Hillsborough,111410.0,954.0,3.6,79222
41005,OR,45.188,-122.2209,415084,Clackamas County,70.1,2022-09-14,Clackamas,77255.0,724.0,4.8,82539
45079,SC,34.0218,-80.9031,414660,Richland County,61.5,2022-09-14,Richland,147755.0,970.0,4.1,56993
1097,AL,30.7872,-88.2058,413977,Mobile County,51.1,2022-09-14,Mobile,127174.0,1721.0,4.7,50871
45019,SC,32.8346,-79.9531,407543,Charleston County,67.1,2022-09-14,Charleston,130084.0,975.0,3.6,72451
26049,MI,43.0217,-83.7067,406770,Genesee County,51.1,2022-09-14,Genesee,116302.0,1847.0,7.6,48721
51107,VA,39.0907,-77.6357,405312,Loudoun County,74.8,2022-09-14,Loudoun,87715.0,416.0,3.1,155362
55133,WI,43.0182,-88.3045,402637,Waukesha County,71.2,2022-09-14,Waukesha,129661.0,1147.0,3.1,92359
29183,MO,38.782,-90.6749,398472,St. Charles County,62.5,2022-09-14,St. Charles,119485.0,984.0,3.5,90567
12081,FL,27.4719,-82.3153,393847,Manatee County,63.1,2022-09-14,Manatee,115446.0,1585.0,3.9,63328
5119,AR,34.77,-92.312,393078,Pulaski County,61.3,2022-09-14,Pulaski,119986.0,1237.0,4.9,56171
6061,CA,39.0634,-120.7177,391799,Placer County,68.7,2022-09-14,Placer,84288.0,657.0,5.0,100662
22071,LA,30.0687,-89.9288,391249,Orleans Parish,71.2,2022-09-14,Orleans,105978.0,1165.0,8.3,51704
39017,OH,39.4386,-84.5756,382129,Butler County,58.0,2022-09-14,Butler,106484.0,1189.0,4.5,69049
36071,NY,41.4021,-74.3056,382077,Orange County,66.5,2022-09-14,Orange,125143.0,991.0,4.7,78724
12021,FL,26.1107,-81.3475,379345,Collier County,71.6,2022-09-14,Collier,98035.0,1091.0,3.7,81895
37067,NC,36.1306,-80.2563,378499,Forsyth County,65.9,2022-09-14,Forsyth,112094.0,871.0,4.9,56158
41039,OR,43.9387,-122.8479,377749,Lane County,68.5,2022-09-14,Lane,72386.0,619.0,5.5,58818
18003,IN,41.0909,-85.0666,375520,Allen County,54.4,2022-09-14,Allen,115819.0,1222.0,3.7,61039
39151,OH,40.8139,-81.3656,371516,Stark County,55.8,2022-09-14,Stark,90206.0,1758.0,5.2,57364
26161,MI,42.2532,-83.8388,368385,Washtenaw County,72.1,2022-09-14,Washtenaw,100148.0,574.0,4.3,77019
34021,NJ,40.2834,-74.7018,368085,Mercer County,73.1,2022-09-14,Mercer,97751.0,1305.0,5.2,87581
48039,TX,29.1897,-95.4521,368062,Brazoria County,59.0,2022-09-14,Brazoria,111163.0,1012.0,6.9,83576
1089,AL,34.7631,-86.5502,367686,Madison County,63.8,2022-09-14,Madison,105797.0,1001.0,2.7,67810
42077,PA,40.6127,-75.5924,367338,Lehigh County,74.8,2022-09-14,Lehigh,101959.0,1297.0,6.8,65733
47065,TN,35.1808,-85.1648,364718,Hamilton County,57.6,2022-09-14,Hamilton,114882.0,1212.0,4.0,61478
12097,FL,28.0626,-81.1495,363666,Osceola County,74.7,2022-09-14,Osceola,135844.0,1215.0,6.3,63018
48355,TX,27.7254,-97.6134,362151,Nueces County,57.9,2022-09-14,Nueces,108027.0,1551.0,6.9,55727
12083,FL,29.2102,-82.0567,360210,Marion County,57.9,2022-09-14,Marion,98777.0,2293.0,4.9,48553
12069,FL,28.7615,-81.7113,356115,Lake County,67.2,2022-09-14,Lake,101959.0,1650.0,4.7,58501
48027,TX,31.0373,-97.4788,355700,Bell County,61.1,2022-09-14,Bell,78915.0,925.0,5.7,53639
27003,MN,45.2733,-93.2465,353775,Anoka County,60.6,2022-09-14,Anoka,110960.0,823.0,3.4,84779
49011,UT,40.99,-112.1115,350761,Davis County,68.2,2022-09-14,Davis,112431.0,424.0,2.4,92253
42129,PA,40.3109,-79.4668,350722,Westmoreland County,59.2,2022-09-14,Westmoreland,91628.0,1455.0,6.3,59349
8069,CO,40.6664,-105.4612,350523,Larimer County,69.4,2022-09-14,Larimer,99489.0,546.0,4.7,80344
51041,VA,37.3785,-77.587,348500,Chesterfield County,57.5,2022-09-14,Chesterfield,90226.0,809.0,3.6,83598
8035,CO,39.3297,-104.9296,344280,Douglas County,74.9,2022-09-14,Douglas,96225.0,501.0,4.1,122290
45051,SC,33.9214,-78.9966,344186,Horry County,57.8,2022-09-14,Horry,112755.0,1211.0,5.1,55055
41047,OR,44.9033,-122.5846,343742,Marion County,64.2,2022-09-14,Marion,81979.0,781.0,5.1,64990
48167,TX,29.3945,-94.9635,337600,Galveston County,60.8,2022-09-14,Galveston,113918.0,876.0,6.7,78465
37051,NC,35.0487,-78.8277,334562,Cumberland County,62.5,2022-09-14,Cumberland,104838.0,696.0,6.9,49160
18057,IN,40.0725,-86.052,330455,Hamilton County,73.8,2022-09-14,Hamilton,91745.0,691.0,2.2,96359
34035,NJ,40.5635,-74.6163,330151,Somerset County,77.8,2022-09-14,Somerset,86298.0,1000.0,5.1,115573
51087,VA,37.538,-77.4058,330076,Henrico County,55.5,2022-09-14,Henrico,81058.0,1006.0,4.0,80105
36087,NY,41.1524,-74.0241,325213,Rockland County,65.9,2022-09-14,Rockland,107629.0,926.0,4.4,94874
8013,CO,40.0925,-105.3577,324682,Boulder County,80.1,2022-09-14,Boulder,84028.0,399.0,4.4,88289
47149,TN,35.8427,-86.4167,324139,Rutherford County,55.4,2022-09-14,Rutherford,109319.0,934.0,3.4,73980
24027,MD,39.2507,-76.9312,322407,Howard County,87.8,2022-09-14,Howard,57264.0,398.0,4.3,124042
21067,KY,38.0423,-84.4587,322200,Fayette County,68.0,2022-09-14,Fayette,112313.0,651.0,3.9,60215
12111,FL,27.3772,-80.472,320914,St. Lucie County,59.6,2022-09-14,St. Lucie,89849.0,1321.0,4.9,59023
37063,NC,36.036,-78.8766,317665,Durham County,75.1,2022-09-14,Durham,93310.0,366.0,4.1,65619
42079,PA,41.177,-75.9891,317547,Luzerne County,65.8,2022-09-14,Luzerne,85102.0,1467.0,8.3,52281
12033,FL,30.669,-87.363,316691,Escambia County,56.6,2022-09-14,Escambia,89774.0,1403.0,4.5,57089
31109,NE,40.7842,-96.6878,315976,Lancaster County,67.9,2022-09-14,Lancaster,88392.0,454.0,2.4,65819
8123,CO,40.5548,-104.3925,315389,Weld County,62.4,2022-09-14,Weld,99104.0,728.0,5.7,77937
45083,SC,34.9309,-81.9908,313791,Spartanburg County,44.7,2022-09-14,Spartanburg,107801.0,1569.0,4.0,53485
39093,OH,41.2956,-82.151,309134,Lorain County,64.9,2022-09-14,Lorain,79366.0,1006.0,5.8,59954
48303,TX,33.6102,-101.8205,308392,Lubbock County,49.2,2022-09-14,Lubbock,105083.0,1357.0,4.5,56477
33015,NH,42.9876,-71.1254,308211,Rockingham County,69.8,2022-09-14,Rockingham,77706.0,586.0,3.5,96775
17111,IL,42.3244,-88.4523,307291,McHenry County,68.1,2022-09-14,McHenry,90409.0,523.0,4.7,89730
36001,NY,42.6002,-73.9736,306165,Albany County,76.2,2022-09-14,Albany,71924.0,555.0,4.4,70629
29510,MO,38.6359,-90.2451,304709,St. Louis city,60.8,2022-09-14,St. Louis city,69422.0,812.0,6.4,45773
42095,PA,40.7542,-75.3076,304233,Northampton County,69.7,2022-09-14,Northampton,91283.0,1159.0,5.9,73903
45063,SC,33.9023,-81.2722,295033,Lexington County,56.8,2022-09-14,Lexington,112885.0,902.0,3.0,62839
23005,ME,43.8465,-70.399,294520,Cumberland County,90.0,2022-09-14,Cumberland,59887.0,413.0,4.0,75455
36027,NY,41.7651,-73.7429,293524,Dutchess County,71.7,2022-09-14,Dutchess,76154.0,694.0,4.4,79276
2020,AK,61.1508,-149.1091,292090,Anchorage Municipality,68.7,2022-09-14,Anchorage,119541.0,557.0,5.8,84577
12073,FL,30.458,-84.2779,291863,Leon County,57.9,2022-09-14,Leon,105459.0,725.0,4.2,61403
34015,NJ,39.7173,-75.1414,291745,Gloucester County,63.6,2022-09-14,Gloucester,82455.0,1003.0,6.0,87220
29077,MO,37.258,-93.342,291574,Greene County,50.3,2022-09-14,Greene,79266.0,1086.0,3.4,46934
26065,MI,42.5971,-84.3735,290923,Ingham County,57.8,2022-09-14,Ingham,76780.0,820.0,5.6,62711
