,county,fips,ST,lat,lng,population
115,Anne Arundel,24003,MD,39.0065,-76.6051,575421
116,Williamson,48491,TX,30.6475,-97.6004,570437
117,Douglas,31055,NE,41.2954,-96.1543,565739
118,Delaware,42045,PA,39.9167,-75.3991,565328
119,Bristol,25005,MA,41.7972,-71.1144,563301
120,New Castle,10003,DE,39.5768,-75.6527,558306
121,Union,34039,NJ,40.6601,-74.3087,555208
122,Ramsey,27123,MN,45.0171,-93.0996,546598
123,Stanislaus,6099,CA,37.5591,-120.9977,546235
124,Volusia,12127,FL,29.0583,-81.1819,546107
125,Lancaster,42071,PA,40.0424,-76.2477,543050
126,Dane,55025,WI,43.0673,-89.4181,542459
127,Summit,39153,OH,41.126,-81.5322,540810
128,Pasco,12101,FL,28.3091,-82.3932,539885
129,Guilford,37081,NC,36.0795,-79.7889,532956
130,Montgomery,39113,OH,39.7547,-84.2907,531988
131,Kane,17089,IL,41.9388,-88.4286,531756
132,Chester,42029,PA,39.9731,-75.7484,521980
133,Plymouth,25023,MA,41.9512,-70.8114,518597
134,Greenville,45045,SC,34.8941,-82.3706,516126
135,Sedgwick,20173,KS,37.6848,-97.461,515416
136,Spokane,53063,WA,47.6207,-117.404,513402
137,Adams,8001,CO,39.8737,-104.3379,509844
138,Camden,34007,NJ,39.8035,-74.9597,506721
139,Passaic,34031,NJ,41.0343,-74.3008,502763
140,Sonoma,6097,CA,38.5289,-122.8881,496801
141,Morris,34027,NJ,40.862,-74.5445,492715
142,Lake,18089,IN,41.4167,-87.3821,485983
143,Polk,19153,IA,41.6855,-93.5735,485418
144,Clark,53011,WA,45.7791,-122.4826,481950
145,Richmond,36085,NY,40.5808,-74.1524,475596
146,Ada,16001,ID,43.4511,-116.2412,469473
147,Prince William,51153,VA,38.7029,-77.4809,466834
148,Seminole,12117,FL,28.717,-81.2363,466695
149,Hampden,25013,MA,42.1351,-72.6316,466647
150,Knox,47093,TN,35.9932,-83.9371,466184
151,Washoe,32031,NV,40.6656,-119.6643,464182
152,Tulare,6107,CA,36.2202,-118.8005,463955
153,Onondaga,36067,NY,43.0058,-76.1946,461591
154,Virginia Beach,51810,VA,36.7335,-76.0435,450882
155,York,42133,PA,39.92,-76.7265,447628
156,Pinal,4021,AZ,32.9044,-111.3448,447559
157,Burlington,34005,NJ,39.8777,-74.6681,446301
158,Santa Barbara,6083,CA,34.6729,-120.0169,444895
159,Solano,6095,CA,38.27,-121.9329,444538
160,East Baton Rouge,22033,LA,30.5383,-91.0956,443158
161,Jefferson,22051,LA,29.7872,-90.1274,434903
162,Monterey,6053,CA,36.2171,-121.2388,432977
163,Lucas,39095,OH,41.6197,-83.659,430319
164,Sarasota,12115,FL,27.1845,-82.3315,427766
165,Dakota,27037,MN,44.6719,-93.0654,425271
166,Cameron,48061,TX,26.1333,-97.5182,422135
167,Berks,42011,PA,40.4163,-75.926,419062
168,Hillsborough,33011,NH,42.9153,-71.7161,415305
169,Clackamas,41005,OR,45.188,-122.2209,415084
170,Richland,45079,SC,34.0218,-80.9031,414660
171,Mobile,1097,AL,30.7872,-88.2058,413977
172,Charleston,45019,SC,32.8346,-79.9531,407543
173,Genesee,26049,MI,43.0217,-83.7067,406770
174,Loudoun,51107,VA,39.0907,-77.6357,405312
175,Waukesha,55133,WI,43.0182,-88.3045,402637
176,St. Charles,29183,MO,38.782,-90.6749,398472
177,Manatee,12081,FL,27.4719,-82.3153,393847
178,Pulaski,5119,AR,34.77,-92.312,393078
179,Placer,6061,CA,39.0634,-120.7177,391799
180,Orleans,22071,LA,30.0687,-89.9288,391249
181,Butler,39017,OH,39.4386,-84.5756,382129
182,Orange,36071,NY,41.4021,-74.3056,382077
183,Collier,12021,FL,26.1107,-81.3475,379345
184,Forsyth,37067,NC,36.1306,-80.2563,378499
185,Lane,41039,OR,43.9387,-122.8479,377749
186,Allen,18003,IN,41.0909,-85.0666,375520
187,Stark,39151,OH,40.8139,-81.3656,371516
188,Washtenaw,26161,MI,42.2532,-83.8388,368385
189,Mercer,34021,NJ,40.2834,-74.7018,368085
190,Brazoria,48039,TX,29.1897,-95.4521,368062
191,Madison,1089,AL,34.7631,-86.5502,367686
192,Lehigh,42077,PA,40.6127,-75.5924,367338
193,Hamilton,47065,TN,35.1808,-85.1648,364718
194,Osceola,12097,FL,28.0626,-81.1495,363666
195,Nueces,48355,TX,27.7254,-97.6134,362151
196,Marion,12083,FL,29.2102,-82.0567,360210
197,Lake,12069,FL,28.7615,-81.7113,356115
198,Bell,48027,TX,31.0373,-97.4788,355700
199,Anoka,27003,MN,45.2733,-93.2465,353775
200,Davis,49011,UT,40.99,-112.1115,350761
201,Westmoreland,42129,PA,40.3109,-79.4668,350722
202,Larimer,8069,CO,40.6664,-105.4612,350523
203,Chesterfield,51041,VA,37.3785,-77.587,348500
204,Douglas,8035,CO,39.3297,-104.9296,344280
205,Horry,45051,SC,33.9214,-78.9966,344186
206,Marion,41047,OR,44.9033,-122.5846,343742
207,Galveston,48167,TX,29.3945,-94.9635,337600
208,Cumberland,37051,NC,35.0487,-78.8277,334562
209,Hamilton,18057,IN,40.0725,-86.052,330455
210,Somerset,34035,NJ,40.5635,-74.6163,330151
211,Henrico,51087,VA,37.538,-77.4058,330076
212,Rockland,36087,NY,41.1524,-74.0241,325213
213,Boulder,8013,CO,40.0925,-105.3577,324682
214,Rutherford,47149,TN,35.8427,-86.4167,324139
215,Howard,24027,MD,39.2507,-76.9312,322407
216,Fayette,21067,KY,38.0423,-84.4587,322200
217,St. Lucie,12111,FL,27.3772,-80.472,320914
218,Durham,37063,NC,36.036,-78.8766,317665
219,Luzerne,42079,PA,41.177,-75.9891,317547
220,Escambia,12033,FL,30.669,-87.363,316691
221,Lancaster,31109,NE,40.7842,-96.6878,315976
222,Weld,8123,CO,40.5548,-104.3925,315389
223,Spartanburg,45083,SC,34.9309,-81.9908,313791
224,Lorain,39093,OH,41.2956,-82.151,309134
225,Lubbock,48303,TX,33.6102,-101.8205,308392
226,Rockingham,33015,NH,42.9876,-71.1254,308211
227,McHenry,17111,IL,42.3244,-88.4523,307291
228,Albany,36001,NY,42.6002,-73.9736,306165
229,St. Louis,29510,MO,38.6359,-90.2451,304709
230,Northampton,42095,PA,40.7542,-75.3076,304233
231,Lexington,45063,SC,33.9023,-81.2722,295033
232,Cumberland,23005,ME,43.8465,-70.399,294520
233,Dutchess,36027,NY,41.7651,-73.7429,293524
234,Anchorage,2020,AK,61.1508,-149.1091,292090
235,Leon,12073,FL,30.458,-84.2779,291863
236,Gloucester,34015,NJ,39.7173,-75.1414,291745
237,Greene,29077,MO,37.258,-93.342,291574
238,Ingham,26065,MI,42.5971,-84.3735,290923
239,Chatham,13051,GA,32.0043,-81.1329,289649
240,Ottawa,26139,MI,42.9598,-85.9961,289162
241,Clayton,13063,GA,33.5419,-84.3577,287560
242,Thurston,53067,WA,46.9258,-122.8332,284698
243,Winnebago,17201,IL,42.3363,-89.1609,283635
244,San Luis Obispo,6079,CA,35.3871,-120.4044,282517
245,Cleveland,40027,OK,35.2031,-97.3265,282189
246,Dauphin,42043,PA,40.4154,-76.7795,277071
247,Webb,48479,TX,27.7611,-99.3316,274847
248,York,45091,SC,34.9748,-81.1845,273887
249,Merced,6047,CA,37.1919,-120.7177,273661
250,Benton,5007,AR,36.3387,-94.2561,273510
251,Santa Cruz,6087,CA,37.0562,-122.0018,273170
252,Erie,42049,PA,41.9925,-80.0327,272046
253,St. Joseph,18141,IN,41.6167,-86.2899,270881
254,Kitsap,53035,WA,47.613,-122.6716,268945
255,Alachua,12001,FL,29.6748,-82.3577,268105
256,New London,9011,CT,41.4867,-72.1014,266868
257,Atlantic,34001,NJ,39.4777,-74.661,264650
258,Madison,17119,IL,38.8297,-89.9049,264403
259,Kalamazoo,26077,MI,42.2455,-85.5312,264322
260,Brown,55009,WI,44.4525,-88.0037,262559
261,St. Clair,17163,IL,38.4703,-89.9284,261186
262,Buncombe,37021,NC,35.6112,-82.5301,259576
263,Marin,6041,CA,38.0735,-122.7235,259441
264,Washington,27163,MN,45.0388,-92.8838,259072
265,St. Tammany,22103,LA,30.4102,-89.9583,258447
266,Frederick,24021,MD,39.4722,-77.398,255955
267,St. Johns,12109,FL,29.9016,-81.4407,255410
268,Weber,49057,UT,41.2698,-111.9134,255284
269,McLennan,48309,TX,31.5524,-97.2018,254045
270,Cherokee,13057,GA,34.2439,-84.4762,253780
271,Harford,24025,MD,39.5611,-76.3171,253736
272,Jefferson,48245,TX,29.8841,-94.1629,253136
273,Cumberland,42041,PA,40.1636,-77.2655,251487
274,Yakima,53077,WA,46.457,-120.7385,250649
275,Clay,29047,MO,39.3105,-94.4209,246480
276,Norfolk,51710,VA,36.8945,-76.259,244300
277,Lafayette,22055,LA,30.2068,-92.0639,243692
278,Caddo,22017,LA,32.5806,-93.8823,243243
279,Chesapeake,51550,VA,36.6778,-76.3023,242647
280,Forsyth,13117,GA,34.2255,-84.1251,236605
281,Arlington,51013,VA,38.8786,-77.1011,236434
282,Washington,5143,AR,35.9791,-94.2156,236198
283,Union,37179,NC,34.9884,-80.5307,235767
284,Hinds,28049,MS,32.2667,-90.4429,235604
285,Warren,39165,OH,39.4277,-84.1668,232540
286,Yavapai,4025,AZ,34.5998,-112.5537,232396
287,Williamson,47187,TN,35.8938,-86.8987,232380
288,New Hanover,37129,NC,34.2328,-77.8847,231448
289,Sussex,10005,DE,38.6606,-75.39,230249
290,Smith,48423,TX,32.375,-95.2692,230184
291,Henry,13151,GA,33.453,-84.1542,229994
292,Lake,39085,OH,41.6963,-81.2373,229755
293,Saratoga,36091,NY,43.1074,-73.8639,229313
294,Richmond,51760,VA,37.5295,-77.4756,229233
295,Oneida,36065,NY,43.2417,-75.4358,229074
296,Mahoning,39099,OH,41.0146,-80.7763,228452
297,Montgomery,1101,AL,32.2203,-86.2076,226451
298,Brazos,48041,TX,30.6608,-96.3024,226370
299,Linn,19113,IA,42.079,-91.599,225601
300,Jefferson,29099,MO,38.2611,-90.5377,224777
301,Whatcom,53073,WA,48.8258,-121.7196,224538
302,Canyon,16027,ID,43.6251,-116.7093,223890
303,Butte,6007,CA,39.6669,-121.6007,223344
304,Hays,48209,TX,30.0579,-98.0312,222827
305,Gaston,37071,NC,35.2944,-81.1803,222119
306,Berkeley,45015,SC,33.1973,-79.9522,222103
307,Jackson,41029,OR,42.4322,-122.7285,218781
308,Yolo,6113,CA,38.6866,-121.9016,218774
309,Baldwin,1003,AL,30.7276,-87.7226,218289
310,Doña Ana,35013,NM,32.3526,-106.8327,217696
311,Shelby,1117,AL,33.2643,-86.6607,216350
312,Clay,12019,FL,29.9831,-81.8579,215294
313,Barnstable,25001,MA,41.7244,-70.2904,213505
314,Yuma,4027,AZ,32.7695,-113.9057,211931
315,Cabarrus,37025,NC,35.3868,-80.5519,211605
316,Mohave,4015,AZ,35.7041,-113.7579,210998
317,Lackawanna,42069,PA,41.4367,-75.6093,210162
318,Niagara,36063,NY,43.2001,-78.7453,210145
319,Champaign,17019,IL,40.1401,-88.1992,210006
320,Tuscaloosa,1125,AL,33.2896,-87.5251,208854
321,Okaloosa,12091,FL,30.6913,-86.5917,207430
322,Washington,42125,PA,40.1894,-80.2483,207081
323,Harrison,28047,MS,30.5122,-89.1161,206169
324,York,23031,ME,43.4782,-70.7144,206074
325,Clermont,39025,OH,39.0476,-84.1517,205616
326,Delaware,39041,OH,40.2784,-83.0049,205454
327,Elkhart,18039,IN,41.5974,-85.8587,205184
328,Montgomery,47125,TN,36.4969,-87.3829,204992
329,Johnston,37101,NC,35.5178,-78.3657,203308
330,Calcasieu,22019,LA,30.2293,-93.358,202858
331,Richmond,13245,GA,33.3596,-82.0736,202178
332,Hall,13139,GA,34.3169,-83.8197,201434
333,Hawaii,15001,HI,19.5985,-155.5185,201350
334,Benton,53005,WA,46.2398,-119.5112,200715
335,Anderson,45007,SC,34.5193,-82.6378,200183
336,St. Louis,27137,MN,47.6032,-92.4707,199499
337,Trumbull,39155,OH,41.3172,-80.7611,199144
338,Onslow,37133,NC,34.7321,-77.4321,198377
339,Sangamon,17167,IL,39.7582,-89.6589,195963
340,Racine,55101,WI,42.7475,-88.0612,195859
341,Muscogee,13215,GA,32.51,-84.8771,195418
342,Tippecanoe,18157,IN,40.3886,-86.8941,193302
343,Broome,36007,NY,42.1602,-75.8196,192042
344,Deschutes,41017,OR,43.915,-121.2282,191749
345,Minnehaha,46099,SD,43.6742,-96.7915,191682
346,Saginaw,26145,MI,43.335,-84.0532,191166
347,Livingston,26093,MI,42.6029,-83.9115,190832
348,Hernando,12053,FL,28.5535,-82.4245,190700
349,El Dorado,6017,CA,38.7787,-120.5247,190345
350,Beaufort,45013,SC,32.3855,-80.7302,189732
351,Butler,42019,PA,40.912,-79.9133,187798
352,Sumner,47165,TN,36.4694,-86.4604,187680
353,Outagamie,55087,WI,44.4161,-88.4649,186829
354,Charlotte,12015,FL,26.9055,-81.9123,185926
355,Sarpy,31153,NE,41.1129,-96.1119,183956
356,DeSoto,28033,MS,34.8753,-89.9912,182256
357,Vanderburgh,18163,IN,38.0249,-87.5859,181548
358,Litchfield,9005,CT,41.7925,-73.2453,181143
359,Peoria,17143,IL,40.788,-89.76,181111
360,Kanawha,54039,WV,38.3366,-81.5281,181014
361,Imperial,6025,CA,33.0395,-115.3653,180580
362,Bay,12005,FL,30.2652,-85.6203,180076
363,Pitt,37147,NC,35.5933,-77.3745,179961
364,Cass,38017,ND,46.933,-97.248,179937
365,Boone,29019,MO,38.9906,-92.3097,179704
366,Santa Rosa,12113,FL,30.7004,-87.0219,179587
367,Newport News,51700,VA,37.1051,-76.5185,179582
368,Ellis,48139,TX,32.3484,-96.7946,179484
369,Shasta,6089,CA,40.7637,-122.0405,179267
370,Kent,10001,DE,39.086,-75.5686,179124
371,Medina,39103,OH,41.1176,-81.8997,179116
372,Iredell,37097,NC,35.807,-80.8734,178853
373,Ulster,36111,NY,41.8881,-74.2586,178371
374,Shawnee,20177,KS,39.0415,-95.7565,177293
375,Licking,39089,OH,40.0916,-82.4831,175409
376,Muskegon,26121,MI,43.2912,-86.152,173679
377,Scott,19163,IA,41.6371,-90.6233,172938
378,McLean,17113,IL,40.4909,-88.8473,172164
379,Washington,49053,UT,37.2804,-113.5048,172127
380,Johnson,48251,TX,32.379,-97.3665,171359
381,Midland,48329,TX,31.8691,-102.0316,171238
382,Winnebago,55139,WI,44.0689,-88.6447,170924
383,Aiken,45003,SC,33.5443,-81.6347,169947
384,Porter,18127,IN,41.4603,-87.0671,169482
385,Kenosha,55059,WI,42.5769,-88.0424,168998
386,Monroe,42089,PA,41.0581,-75.3395,168824
387,Carroll,24013,MD,39.5629,-77.0225,168233
388,Greene,39057,OH,39.6915,-83.8899,167867
389,Pueblo,8101,CO,38.1735,-104.5127,167412
390,Davidson,37057,NC,35.7933,-80.2128,166837
391,Hendricks,18063,IN,39.7695,-86.51,166806
392,Maui,15009,HI,20.8596,-156.5649,166657
393,Kenton,21117,KY,38.9334,-84.5333,166552
394,Alamance,37001,NC,36.0437,-79.3994,166144
395,Wyandotte,20209,KS,39.1146,-94.7646,165447
396,Beaver,42007,PA,40.6823,-80.3493,164781
397,Paulding,13223,GA,33.9206,-84.8673,164440
398,Kent,44003,RI,41.6721,-71.5931,164122
399,Lee,1081,AL,32.6011,-85.3555,163461
400,Chittenden,50007,VT,44.4608,-73.0808,163414
401,Guadalupe,48187,TX,29.583,-97.9486,163030
402,Middlesex,9007,CT,41.4632,-72.5351,162742
403,Rock,55105,WI,42.6712,-89.0716,162532
404,Portage,39133,OH,41.1677,-81.1974,162476
405,Centre,42027,PA,40.9193,-77.82,162264
406,Ector,48135,TX,31.8692,-102.5427,162067
407,Kootenai,16055,ID,47.6744,-116.7018,161676
408,Charles,24017,MD,38.5073,-76.9922,161448
409,Hampshire,25015,MA,42.3402,-72.6638,161361
410,Dorchester,45035,SC,33.0793,-80.4067,161309
411,Martin,12085,FL,27.0775,-80.4315,160420
412,Yellowstone,30111,MT,45.9373,-108.2744,160390
413,Stearns,27145,MN,45.5521,-94.613,159788
414,St. Clair,26147,MI,42.9341,-82.6806,159285
415,Rensselaer,36083,NY,42.7111,-73.5097,159013
416,Catawba,37035,NC,35.662,-81.2151,158507
417,Alexandria,51510,VA,38.8185,-77.0861,158309
418,Jackson,26075,MI,42.2485,-84.4234,158174
419,Sullivan,47163,TN,36.5129,-82.3042,157707
420,Indian River,12061,FL,27.6943,-80.6062,156964
421,Olmsted,27109,MN,44.0038,-92.4018,156446
422,Fairfield,39045,OH,39.7516,-82.6306,156204
423,Johnson,18081,IN,39.49,-86.1016,156148
424,Madera,6039,CA,37.2181,-119.7626,155925
425,Houston,13153,GA,32.459,-83.6662,155317
426,Schenectady,36093,NY,42.8181,-74.0586,155086
427,Franklin,42055,PA,39.9274,-77.7213,154954
428,Ouachita,22073,LA,32.4784,-92.1549,154679
429,Columbia,13073,GA,33.5441,-82.2641,154257
430,Rankin,28121,MS,32.2641,-89.9458,154119
431,Berrien,26021,MI,41.9547,-86.4123,153797
432,Bibb,13021,GA,32.8065,-83.6974,153026
433,Mesa,8077,CO,39.0183,-108.4665,152962
434,Penobscot,23019,ME,45.4006,-68.6495,151696
435,Kings,6031,CA,36.0753,-119.8155,151090
436,Tolland,9013,CT,41.855,-72.3365,150947
437,Merrimack,33013,NH,43.2975,-71.6802,150902
438,Johnson,19103,IA,41.6715,-91.5881,150819
439,Washington,24043,MD,39.6036,-77.814,150575
440,Santa Fe,35049,NM,35.5069,-105.9763,150319
441,Stafford,51179,VA,38.4207,-77.458,150185
442,Cumberland,34011,NJ,39.3738,-75.1107,150085
443,Monroe,26115,MI,41.9291,-83.5394,150000
444,Comal,48091,TX,29.8082,-98.2783,148921
445,Citrus,12017,FL,28.8489,-82.4794,147938
446,Monroe,18105,IN,39.1609,-86.5231,147318
447,Scott,27139,MN,44.6485,-93.5359,147201
448,Orange,37135,NC,36.0611,-79.1207,146354
449,Coweta,13077,GA,33.3534,-84.7634,145839
450,Douglas,13097,GA,33.7018,-84.768,145063
451,Sandoval,35043,NM,35.6886,-106.8659,144954
452,Canadian,40017,OK,35.5424,-97.9824,144610
453,Randolph,37151,NC,35.7103,-79.806,143460
454,Jackson,28059,MS,30.5423,-88.6357,142872
455,Rock Island,17161,IL,41.4673,-90.5674,142801
456,Coconino,4005,AZ,35.8387,-111.7705,142254
457,Schuylkill,42107,PA,40.7058,-76.2159,141935
458,Sussex,34037,NJ,41.1393,-74.6908,140996
459,Rowan,37159,NC,35.6394,-80.5248,140978
460,Wilson,47189,TN,36.1549,-86.2977,140604
461,Livingston,22063,LA,30.4401,-90.7279,140524
462,Lebanon,42075,PA,40.3672,-76.4577,140410
463,Napa,6055,CA,38.5065,-122.3305,138572
464,Parker,48367,TX,32.7776,-97.8051,138447
465,Florence,45041,SC,34.0245,-79.703,138237
466,Taylor,48441,TX,32.3015,-99.8902,137521
467,Brunswick,37019,NC,34.071,-78.2377,137303
468,Wright,27171,MN,45.1739,-93.9631,136387
469,Humboldt,6023,CA,40.6993,-123.8756,136101
470,Randall,48381,TX,34.9659,-101.8969,136005
471,Washington,55131,WI,43.3685,-88.2307,135529
472,Marathon,55073,WI,44.8983,-89.7591,135485
473,Hampton,51650,VA,37.0551,-76.363,135169
474,Spotsylvania,51177,VA,38.1849,-77.6561,134683
475,Clark,39023,OH,39.9168,-83.7839,134409
476,Harnett,37085,NC,35.3688,-78.8693,134328
477,Calhoun,26025,MI,42.2465,-85.0056,133943
478,Tangipahoa,22105,LA,30.6266,-90.4057,133753
479,Grayson,48181,TX,33.6268,-96.6777,133527
480,Tazewell,17179,IL,40.5075,-89.5134,132524
481,Boone,21015,KY,38.9699,-84.7278,132368
482,Wichita,48485,TX,33.988,-98.7036,132154
483,Black Hawk,19013,IA,42.4701,-92.3088,131813
484,Robeson,37155,NC,34.6402,-79.1039,131656
485,Blount,47009,TN,35.6872,-83.9255,131641
486,Cambria,42021,PA,40.4953,-78.7135,131611
487,Warren,21227,KY,36.9936,-86.4238,130836
488,Wood,39173,OH,41.3617,-83.623,130662
489,Rapides,22079,LA,31.1986,-92.5332,130376
490,Fayette,42051,PA,39.9201,-79.6474,130329
491,Strafford,33017,NH,43.297,-71.0289,130161
492,Sumter,12119,FL,28.7048,-82.081,129938
493,Kaufman,48257,TX,32.5993,-96.2878,129792
494,Madison,18095,IN,40.1617,-85.7194,129486
495,Washington,47179,TN,36.2933,-82.4974,128874
496,Sebastian,5131,AR,35.1988,-94.2743,127670
497,Chautauqua,36013,NY,42.2281,-79.3663,127584
498,Kendall,17093,IL,41.5906,-88.4288,127583
499,Skagit,53057,WA,48.4793,-121.7305,127442
500,Linn,41043,OR,44.4887,-122.5344,127216
501,Bossier,22015,LA,32.6784,-93.6049,126952
502,Clarke,13059,GA,33.9512,-83.3673,126952
503,Cochise,4003,AZ,31.8795,-109.7512,126442
504,Cache,49005,UT,41.7224,-111.7436,126336
505,Washington,44009,RI,41.4697,-71.6225,126139
506,Berkshire,25003,MA,42.3707,-73.2064,125927
507,San Juan,35045,NM,36.5085,-108.3206,125608
508,Pickens,45077,SC,34.8873,-82.7253,125381
509,Hunterdon,34019,NJ,40.5673,-74.9122,125063
510,Ascension,22005,LA,30.2036,-90.9113,125061
511,Faulkner,5045,AR,35.147,-92.332,124800
512,Wayne,37191,NC,35.364,-78.004,123785
