fips,ST,lat,lng,population,Recip_County,Vax_Pct,date,county,cases,deaths,Unemployment_rate_2021,Median_Household_Income_2020,cases_100000,deaths_100000
37119,NC,35.2467,-80.8328,1095170,Mecklenburg County,66.3,2022-09-14,Mecklenburg,336751.0,1736.0,4.9,72340,30748.74220440662,158.5142032743775
37183,NC,35.7903,-78.6503,1091662,Wake County,77.2,2022-09-14,Wake,363398.0,1234.0,4.0,88763,33288.50871423573,113.03865115759274
13121,GA,33.7903,-84.467,1051550,Fulton County,57.5,2022-09-14,Fulton,259764.0,2495.0,4.7,71504,24702.962293756835,237.26879368551187
24031,MD,39.1363,-77.2042,1047661,Montgomery County,89.8,2022-09-14,Montgomery,220803.0,2165.0,5.5,115394,21075.80600976843,206.6508154832527
4019,AZ,32.0974,-111.7899,1038476,Pima County,71.2,2022-09-14,Pima,289898.0,3983.0,5.0,56551,27915.71495152512,383.542806959429
48085,TX,33.188,-96.5724,1006038,Collin County,68.3,2022-09-14,Collin,255335.0,1549.0,4.3,101560,25380.254026189865,153.97032716458025
29189,MO,38.6407,-90.4434,996179,St. Louis County,65.9,2022-09-14,St. Louis,268680.0,3498.0,4.5,68964,26971.056406529347,351.14171248339903
6019,CA,36.7582,-119.6493,990204,Fresno County,62.5,2022-09-14,Fresno,302506.0,2835.0,9.2,61401,30549.866492157173,286.3046402559472
12103,FL,27.9199,-82.7256,970985,Pinellas County,65.8,2022-09-14,Pinellas,257073.0,3715.0,4.0,61532,26475.486233052005,382.6011730356288
36119,NY,41.1624,-73.7561,968738,Westchester County,84.0,2022-09-14,Westchester,302271.0,2812.0,4.8,103340,31202.55425099459,290.27456340104345
18097,IN,39.7817,-86.1385,957337,Marion County,58.6,2022-09-14,Marion,252930.0,3090.0,4.4,56185,26420.16343252167,322.77035150631383
55079,WI,43.0072,-87.9669,949180,Milwaukee County,66.0,2022-09-14,Milwaukee,314051.0,2368.0,5.4,52281,33086.558924545396,249.47849722918727
12031,FL,30.3316,-81.6708,948651,Duval County,62.1,2022-09-14,Duval,298881.0,3638.0,4.5,55202,31505.8962674366,383.49192695733205
9001,CT,41.2711,-73.3893,944306,Fairfield County,83.6,2022-09-14,Fairfield,241586.0,2804.0,6.1,98828,25583.444349607016,296.9376452124629
47157,TN,35.1842,-89.894,936611,Shelby County,56.9,2022-09-14,Shelby,276498.0,3480.0,6.8,50870,29521.113888263113,371.55233069011575
34003,NJ,40.9597,-74.0742,931275,Bergen County,79.3,2022-09-14,Bergen,284410.0,3556.0,6.0,107114,30539.85127916029,381.8420981987061
13135,GA,33.9617,-84.0236,926414,Gwinnett County,56.1,2022-09-14,Gwinnett,241015.0,1988.0,3.5,73460,26015.906495368163,214.59088485277638
17043,IL,41.852,-88.0856,926005,DuPage County,78.1,2022-09-14,DuPage,264311.0,1871.0,4.5,92101,28543.150414954565,202.0507448663884
36029,NY,42.7639,-78.7323,918873,Erie County,71.1,2022-09-14,Erie,249049.0,2750.0,5.5,59584,27103.745566579928,299.27966106306314
24033,MD,38.8295,-76.8473,910551,Prince George's County,76.9,2022-09-14,Prince George's,206063.0,2245.0,7.5,85246,22630.583020610597,246.55400960517312
6029,CA,35.3426,-118.7301,892458,Kern County,54.8,2022-09-14,Kern,282623.0,2532.0,10.0,58583,31667.93283269353,283.71083008948324
9003,CT,41.8064,-72.7329,892153,Hartford County,77.4,2022-09-14,Hartford,214161.0,3266.0,6.5,73476,24004.963274236594,366.08070588789144
53053,WA,47.0241,-122.1046,891862,Pierce County,66.9,2022-09-14,Pierce,227216.0,1508.0,6.1,80236,25476.587185012926,169.08445476990835
6075,CA,37.7558,-122.4449,874784,San Francisco County,85.3,2022-09-14,San Francisco,188454.0,1022.0,5.0,121722,21542.91802319201,116.82884003365402
26099,MI,42.6957,-82.9323,870893,Macomb County,57.3,2022-09-14,Macomb,272220.0,4184.0,5.9,64870,31257.571251577403,480.42641288883937
48121,TX,33.2055,-97.1168,861690,Denton County,62.1,2022-09-14,Denton,209895.0,1392.0,4.4,90880,24358.52800891272,161.54301430909027
48215,TX,26.3967,-98.1811,861137,Hidalgo County,77.9,2022-09-14,Hidalgo,247706.0,3987.0,9.3,46653,28764.993258912345,462.9925319664583
9009,CT,41.4106,-72.9321,855733,New Haven County,79.8,2022-09-14,New Haven,233223.0,2944.0,6.6,72517,27254.17858140331,344.0325428609157
6111,CA,34.4561,-119.0836,845599,Ventura County,73.3,2022-09-14,Ventura,221735.0,1558.0,6.2,90961,26222.240092526128,184.248089224325
48141,TX,31.7686,-106.2348,836915,El Paso County,83.7,2022-09-14,El Paso,237570.0,3799.0,6.2,48522,28386.395273116148,453.92901310168895
24005,MD,39.4627,-76.6393,828193,Baltimore County,74.2,2022-09-14,Baltimore,156670.0,2610.0,5.7,79974,18917.088166647147,315.143933841508
42091,PA,40.2108,-75.3673,827180,Montgomery County,80.5,2022-09-14,Montgomery,181575.0,2438.0,5.0,94094,21951.08682511666,294.7363330834885
25027,MA,42.3514,-71.9077,826655,Worcester County,71.9,2022-09-14,Worcester,221053.0,2737.0,5.9,77931,26740.6596464063,331.0933823662834
34023,NJ,40.4392,-74.4117,825015,Middlesex County,75.2,2022-09-14,Middlesex,243552.0,2938.0,5.7,95610,29520.917801494517,356.11473730780654
39061,OH,39.1955,-84.5428,815790,Hamilton County,63.8,2022-09-14,Hamilton,218291.0,2121.0,4.9,63919,26758.23434952623,259.99338064943186
53061,WA,48.0475,-121.6975,811572,Snohomish County,72.0,2022-09-14,Snohomish,189662.0,1284.0,5.0,93589,23369.707185560863,158.2114710709586
41051,OR,45.5468,-122.4148,809869,Multnomah County,80.6,2022-09-14,Multnomah,156063.0,1378.0,5.6,74707,19270.15356804619,170.15097503423394
25025,MA,42.3334,-71.0719,801162,Suffolk County,75.0,2022-09-14,Suffolk,248866.0,2072.0,6.0,85221,31063.130802509353,258.62434813433487
34013,NJ,40.7872,-74.2471,798698,Essex County,74.6,2022-09-14,Essex,260144.0,3673.0,8.0,65528,32571.009317664502,459.873444030159
40109,OK,35.5515,-97.4072,792668,Oklahoma County,67.0,2022-09-14,Oklahoma,227124.0,2542.0,4.1,55332,28653.105713867593,320.68911574581034
48157,TX,29.5275,-95.7709,790892,Fort Bend County,72.9,2022-09-14,Fort Bend,231182.0,1286.0,5.9,97210,29230.539694420982,162.60121483084922
25009,MA,42.6732,-70.952,787038,Essex County,76.1,2022-09-14,Essex,235947.0,2879.0,6.4,88269,29979.11155496939,365.80190537178635
21111,KY,38.1872,-85.6591,768419,Jefferson County,65.3,2022-09-14,Jefferson,275639.0,2503.0,4.8,62067,35870.92458671636,325.73374682302233
6081,CA,37.4229,-122.329,765623,San Mateo County,85.7,2022-09-14,San Mateo,176652.0,826.0,4.6,132369,23072.974557974354,107.88599611035718
13067,GA,33.9415,-84.5767,756653,Cobb County,59.5,2022-09-14,Cobb,204015.0,1953.0,3.3,81517,26962.821795459742,258.1103887779471
12071,FL,26.5779,-81.8337,756570,Lee County,63.3,2022-09-14,Lee,225766.0,2365.0,4.2,66140,29840.728551224605,312.59500112349156
13089,GA,33.7715,-84.2264,755287,DeKalb County,57.8,2022-09-14,DeKalb,180614.0,1837.0,4.6,69545,23913.293886959527,243.21880291862564
6077,CA,37.9348,-121.2714,751615,San Joaquin County,60.9,2022-09-14,San Joaquin,209815.0,2303.0,8.7,70685,27915.22255410017,306.4068705387732
36055,NY,43.1464,-77.6961,743084,Monroe County,73.7,2022-09-14,Monroe,177271.0,1700.0,5.2,61358,23856.11855456449,228.77628908710184
8031,CO,39.762,-104.8758,715878,Denver County,77.6,2022-09-14,Denver,209458.0,1430.0,5.9,75355,29258.896068883245,199.75470680758454
8041,CO,38.8321,-104.5255,710499,El Paso County,66.2,2022-09-14,El Paso,220274.0,1790.0,5.6,72459,31002.71780818833,251.9356114505439
12105,FL,27.9489,-81.6977,705735,Polk County,58.5,2022-09-14,Polk,243113.0,3218.0,5.4,54591,34448.19939495703,455.9785188491431
25021,MA,42.1605,-71.2114,703740,Norfolk County,81.1,2022-09-14,Norfolk,158964.0,2019.0,5.1,106348,22588.455963850283,286.8957285361071
11001,DC,38.9047,-77.0163,701974,District of Columbia,75.3,2022-09-14,District of Columbia,167242.0,1382.0,6.6,91957,23824.529113613895,196.87338847307734
29095,MO,39.0085,-94.3461,700733,Jackson County,58.8,2022-09-14,Jackson,108986.0,1261.0,5.5,56398,15553.142209657603,179.95441915822434
17097,IL,42.3233,-88.0037,699682,Lake County,80.0,2022-09-14,Lake,189614.0,1528.0,5.3,100325,27100.025440128516,218.38492343664691
47037,TN,36.1695,-86.7847,690540,Davidson County,66.7,2022-09-14,Davidson,238425.0,1749.0,4.2,64418,34527.326440177254,253.28004170649055
17197,IL,41.445,-87.9786,689704,Will County,68.8,2022-09-14,Will,198128.0,1679.0,5.7,90349,28726.526161947735,243.4377646062659
35001,NM,35.0514,-106.6702,679037,Bernalillo County,71.8,2022-09-14,Bernalillo,178780.0,2072.0,6.2,56632,26328.462219289966,305.138011625287
34017,NJ,40.7371,-74.0779,671923,Hudson County,79.8,2022-09-14,Hudson,212147.0,2777.0,6.8,77323,31573.111800012797,413.29140392574743
1073,AL,33.5543,-86.8964,658615,Jefferson County,59.9,2022-09-14,Jefferson,216936.0,2437.0,3.6,57802,32938.21124632752,370.01890330466205
26081,MI,43.0322,-85.5493,652617,Kent County,62.3,2022-09-14,Kent,189488.0,1649.0,4.7,65012,29035.100219577485,252.67499927216116
40143,OK,36.1211,-95.9415,650291,Tulsa County,63.6,2022-09-14,Tulsa,194289.0,2236.0,4.0,58863,29877.2395742829,343.8460627626709
8005,CO,39.6498,-104.3392,649980,Arapahoe County,69.7,2022-09-14,Arapahoe,187452.0,1366.0,5.8,82381,28839.65660481861,210.16031262500383
44007,RI,41.8721,-71.58,636161,Providence County,72.1,2022-09-14,Providence,253786.0,2596.0,6.0,67752,39893.36032859606,408.0727991813393
42017,PA,40.337,-75.1069,627668,Bucks County,76.1,2022-09-14,Bucks,142263.0,2011.0,5.3,92441,22665.326255281452,320.39230931001737
49049,UT,40.1199,-111.6703,621506,Utah County,59.2,2022-09-14,Utah,218053.0,836.0,2.3,81804,35084.61704311785,134.5119757492285
34025,NJ,40.2603,-74.2213,620821,Monmouth County,69.6,2022-09-14,Monmouth,199444.0,2275.0,5.5,104219,32125.846258422313,366.45023283684026
24510,MD,39.3051,-76.6144,602274,Baltimore city,65.9,2022-09-14,Baltimore city,135533.0,1861.0,7.6,51485,22503.54489816927,308.9955734433165
34029,NJ,39.8855,-74.2813,602018,Ocean County,55.7,2022-09-14,Ocean,191845.0,3117.0,6.0,78181,31866.987365826273,517.7586052244285
20091,KS,38.8838,-94.8223,597574,Johnson County,78.7,2022-09-14,Johnson,167338.0,1258.0,2.7,91799,28002.891692074954,210.51786054948843
41067,OR,45.5601,-123.0983,595761,Washington County,77.6,2022-09-14,Washington,112561.0,697.0,4.4,85385,18893.650306079115,116.99322379276254
12009,FL,28.2936,-80.7323,594001,Brevard County,65.9,2022-09-14,Brevard,164026.0,2321.0,4.0,65871,27613.758225996255,390.7400829291533
48339,TX,30.3002,-95.503,590188,Montgomery County,55.7,2022-09-14,Montgomery,163592.0,1332.0,5.8,85348,27718.625251614743,225.69079683084033
8059,CO,39.5864,-105.2505,578795,Jefferson County,78.9,2022-09-14,Jefferson,150245.0,1441.0,5.0,90097,25958.240827926988,248.9655231990601
24003,MD,39.0065,-76.6051,575421,Anne Arundel County,78.5,2022-09-14,Anne Arundel,109082.0,1164.0,4.7,105979,18956.90285895023,202.28667358334158
48491,TX,30.6475,-97.6004,570437,Williamson County,69.6,2022-09-14,Williamson,157674.0,951.0,4.0,91507,27640.913895837755,166.7142909734116
31055,NE,41.2954,-96.1543,565739,Douglas County,68.4,2022-09-14,Douglas,168837.0,1180.0,3.0,65788,29843.62046809571,208.5767465209222
42045,PA,39.9167,-75.3991,565328,Delaware County,78.1,2022-09-14,Delaware,128951.0,1934.0,6.3,75174,22809.943961735487,342.10228398381116
25005,MA,41.7972,-71.1144,563301,Bristol County,67.7,2022-09-14,Bristol,168380.0,2263.0,6.5,71998,29891.656503361435,401.7390347256618
10003,DE,39.5768,-75.6527,558306,New Castle County,70.8,2022-09-14,New Castle,173462.0,1493.0,5.3,75145,31069.34190211103,267.4160764885207
34039,NJ,40.6601,-74.3087,555208,Union County,73.2,2022-09-14,Union,174774.0,2424.0,6.7,83189,31479.01327070215,436.5931326637945
27123,MN,45.0171,-93.0996,546598,Ramsey County,73.3,2022-09-14,Ramsey,146219.0,1412.0,3.8,66123,26750.738202481534,258.32513108353857
6099,CA,37.5591,-120.9977,546235,Stanislaus County,55.8,2022-09-14,Stanislaus,157552.0,1726.0,8.4,64501,28843.26343057475,315.9812168755206
12127,FL,29.0583,-81.1819,546107,Volusia County,60.7,2022-09-14,Volusia,140976.0,2162.0,4.6,55463,25814.721290882557,395.89311252190504
42071,PA,40.0424,-76.2477,543050,Lancaster County,61.4,2022-09-14,Lancaster,136424.0,1962.0,4.9,73006,25121.81198784642,361.29269864653344
55025,WI,43.0673,-89.4181,542459,Dane County,84.4,2022-09-14,Dane,163314.0,568.0,2.8,74829,30106.238443827093,104.70837427344739
39153,OH,41.126,-81.5322,540810,Summit County,64.6,2022-09-14,Summit,130451.0,1760.0,5.4,60715,24121.410476877278,325.43776927201793
12101,FL,28.3091,-82.3932,539885,Pasco County,60.2,2022-09-14,Pasco,149414.0,2104.0,4.4,52332,27675.153041851507,389.7126239847375
37081,NC,36.0795,-79.7889,532956,Guilford County,65.8,2022-09-14,Guilford,143465.0,1327.0,5.6,55577,26918.732503246047,248.98865947657967
39113,OH,39.7547,-84.2907,531988,Montgomery County,57.4,2022-09-14,Montgomery,146953.0,2079.0,5.6,54692,27623.367444378444,390.7982886832034
17089,IL,41.9388,-88.4286,531756,Kane County,68.1,2022-09-14,Kane,152648.0,1213.0,5.9,83784,28706.399175561724,228.11214165895638
42029,PA,39.9731,-75.7484,521980,Chester County,81.4,2022-09-14,Chester,107973.0,1223.0,4.2,107491,20685.275297904136,234.30016475727038
25023,MA,41.9512,-70.8114,518597,Plymouth County,71.8,2022-09-14,Plymouth,131813.0,1762.0,6.1,88420,25417.23149189062,339.76286017852016
45045,SC,34.8941,-82.3706,516126,Greenville County,56.6,2022-09-14,Greenville,193120.0,2045.0,3.4,62475,37417.21982616648,396.221077798832
20173,KS,37.6848,-97.461,515416,Sedgwick County,56.8,2022-09-14,Sedgwick,161079.0,1487.0,4.6,59789,31252.23120741304,288.50481940801217
53063,WA,47.6207,-117.404,513402,Spokane County,62.6,2022-09-14,Spokane,142831.0,1516.0,5.4,60827,27820.499335803135,295.28517613877625
8001,CO,39.8737,-104.3379,509844,Adams County,69.8,2022-09-14,Adams,159045.0,1447.0,6.2,73615,31194.836067503,283.81230337122724
34007,NJ,39.8035,-74.9597,506721,Camden County,70.9,2022-09-14,Camden,151139.0,1895.0,6.8,71718,29826.86725041986,373.9730542053714
34031,NJ,41.0343,-74.3008,502763,Passaic County,71.7,2022-09-14,Passaic,171722.0,2388.0,8.4,64422,34155.65584579613,474.9752865664339
6097,CA,38.5289,-122.8881,496801,Sonoma County,79.7,2022-09-14,Sonoma,111036.0,521.0,5.5,87366,22350.196557575367,104.87096443042587
34027,NJ,40.862,-74.5445,492715,Morris County,79.1,2022-09-14,Morris,147800.0,1611.0,5.0,114103,29997.057122271497,326.9638634910648
18089,IN,41.4167,-87.3821,485983,Lake County,59.0,2022-09-14,Lake,123781.0,1893.0,6.1,59158,25470.232497844576,389.51979801762616
19153,IA,41.6855,-93.5735,485418,Polk County,68.9,2022-09-14,Polk,140274.0,1154.0,4.5,67821,28897.56869337355,237.73325257819036
53011,WA,45.7791,-122.4826,481950,Clark County,66.2,2022-09-14,Clark,104658.0,911.0,5.5,76929,21715.530656707127,189.02375765120863
16001,ID,43.4511,-116.2412,469473,Ada County,65.9,2022-09-14,Ada,151552.0,1066.0,3.3,73324,32281.3026521227,227.06311119063292
51153,VA,38.7029,-77.4809,466834,Prince William County,74.5,2022-09-14,Prince William,116131.0,776.0,4.0,111117,24876.294357309023,166.22611035185955
12117,FL,28.717,-81.2363,466695,Seminole County,63.1,2022-09-14,Seminole,124520.0,1198.0,4.1,71930,26681.23721059793,256.698700436045
25013,MA,42.1351,-72.6316,466647,Hampden County,67.7,2022-09-14,Hampden,155085.0,1897.0,7.6,61600,33233.900571524086,406.51713179341135
47093,TN,35.9932,-83.9371,466184,Knox County,61.1,2022-09-14,Knox,147277.0,1482.0,3.3,57886,31592.032330581915,317.9002282360613
32031,NV,40.6656,-119.6643,464182,Washoe County,65.6,2022-09-14,Washoe,121612.0,1269.0,4.3,75232,26199.20634578678,273.3841467355477
6107,CA,36.2202,-118.8005,463955,Tulare County,55.3,2022-09-14,Tulare,156818.0,1529.0,10.7,62058,33800.26080115529,329.5578234958132
36067,NY,43.0058,-76.1946,461591,Onondaga County,74.8,2022-09-14,Onondaga,131673.0,1121.0,4.9,63963,28525.902801397773,242.85568826081962
51810,VA,36.7335,-76.0435,450882,Virginia Beach city,63.4,2022-09-14,Virginia Beach city,105732.0,893.0,3.7,73961,23450.037925665696,198.05625418623944
42133,PA,39.92,-76.7265,447628,York County,60.8,2022-09-14,York,134827.0,1565.0,5.4,71655,30120.323125452385,349.62066716112486
4021,AZ,32.9044,-111.3448,447559,Pinal County,55.4,2022-09-14,Pinal,146915.0,1725.0,4.7,66992,32825.839721690325,385.42404465109627
34005,NJ,39.8777,-74.6681,446301,Burlington County,76.5,2022-09-14,Burlington,125715.0,1287.0,5.3,92471,28168.209347503143,288.37040472685476
6083,CA,34.6729,-120.0169,444895,Santa Barbara County,72.4,2022-09-14,Santa Barbara,111444.0,717.0,5.8,86136,25049.5060632284,161.16162240528664
6095,CA,38.27,-121.9329,444538,Solano County,69.7,2022-09-14,Solano,111460.0,461.0,7.5,83678,25073.222086750742,103.70317048261342
22033,LA,30.5383,-91.0956,443158,East Baton Rouge Parish,57.0,2022-09-14,East Baton Rouge,128568.0,1390.0,5.3,57099,29011.774581526228,313.65788274159553
22051,LA,29.7872,-90.1274,434903,Jefferson Parish,66.6,2022-09-14,Jefferson,133192.0,1396.0,6.0,58586,30625.679749277424,320.9911175595478
6053,CA,36.2171,-121.2388,432977,Monterey County,74.3,2022-09-14,Monterey,114272.0,779.0,8.3,85031,26392.16401795014,179.91717804871854
39095,OH,41.6197,-83.659,430319,Lucas County,59.0,2022-09-14,Lucas,115542.0,1452.0,6.2,51642,26850.313372172735,337.424097007104
12115,FL,27.1845,-82.3315,427766,Sarasota County,71.3,2022-09-14,Sarasota,111917.0,1833.0,3.8,66138,26163.13592010585,428.5053043018847
27037,MN,44.6719,-93.0654,425271,Dakota County,71.0,2022-09-14,Dakota,127158.0,816.0,3.1,90562,29900.463469176124,191.8776497809632
48061,TX,26.1333,-97.5182,422135,Cameron County,80.0,2022-09-14,Cameron,124263.0,2076.0,8.2,44440,29436.791547727626,491.7858031198551
42011,PA,40.4163,-75.926,419062,Berks County,62.5,2022-09-14,Berks,115894.0,1659.0,6.6,70057,27655.57363826832,395.884141248789
33011,NH,42.9153,-71.7161,415305,Hillsborough County,65.4,2022-09-14,Hillsborough,111410.0,954.0,3.6,79222,26826.067588880458,229.7106945497887
41005,OR,45.188,-122.2209,415084,Clackamas County,70.1,2022-09-14,Clackamas,77255.0,724.0,4.8,82539,18611.895423576916,174.42252652475162
45079,SC,34.0218,-80.9031,414660,Richland County,61.5,2022-09-14,Richland,147755.0,970.0,4.1,56993,35632.807601408385,233.9265904596537
1097,AL,30.7872,-88.2058,413977,Mobile County,51.1,2022-09-14,Mobile,127174.0,1721.0,4.7,50871,30720.064158153717,415.72357884616775
45019,SC,32.8346,-79.9531,407543,Charleston County,67.1,2022-09-14,Charleston,130084.0,975.0,3.6,72451,31919.085838794927,239.23855887599592
26049,MI,43.0217,-83.7067,406770,Genesee County,51.1,2022-09-14,Genesee,116302.0,1847.0,7.6,48721,28591.58738353369,454.064950709246
51107,VA,39.0907,-77.6357,405312,Loudoun County,74.8,2022-09-14,Loudoun,87715.0,416.0,3.1,155362,21641.352834359703,102.63698089373123
55133,WI,43.0182,-88.3045,402637,Waukesha County,71.2,2022-09-14,Waukesha,129661.0,1147.0,3.1,92359,32202.95203868497,284.8719814622104
29183,MO,38.782,-90.6749,398472,St. Charles County,62.5,2022-09-14,St. Charles,119485.0,984.0,3.5,90567,29985.795739725752,246.9433234957538
12081,FL,27.4719,-82.3153,393847,Manatee County,63.1,2022-09-14,Manatee,115446.0,1585.0,3.9,63328,29312.397961645005,402.44054163164884
5119,AR,34.77,-92.312,393078,Pulaski County,61.3,2022-09-14,Pulaski,119986.0,1237.0,4.9,56171,30524.730460621045,314.69581100951973
6061,CA,39.0634,-120.7177,391799,Placer County,68.7,2022-09-14,Placer,84288.0,657.0,5.0,100662,21513.071753628774,167.68802370603294
22071,LA,30.0687,-89.9288,391249,Orleans Parish,71.2,2022-09-14,Orleans,105978.0,1165.0,8.3,51704,27087.097986192937,297.7643393337746
39017,OH,39.4386,-84.5756,382129,Butler County,58.0,2022-09-14,Butler,106484.0,1189.0,4.5,69049,27865.982430017088,311.1514697916149
36071,NY,41.4021,-74.3056,382077,Orange County,66.5,2022-09-14,Orange,125143.0,991.0,4.7,78724,32753.34552982776,259.3718020189648
12021,FL,26.1107,-81.3475,379345,Collier County,71.6,2022-09-14,Collier,98035.0,1091.0,3.7,81895,25843.229777643046,287.6009964544149
37067,NC,36.1306,-80.2563,378499,Forsyth County,65.9,2022-09-14,Forsyth,112094.0,871.0,4.9,56158,29615.401890097466,230.1194983342096
41039,OR,43.9387,-122.8479,377749,Lane County,68.5,2022-09-14,Lane,72386.0,619.0,5.5,58818,19162.45972854991,163.86542386611214
18003,IN,41.0909,-85.0666,375520,Allen County,54.4,2022-09-14,Allen,115819.0,1222.0,3.7,61039,30842.29867916489,325.4154239454623
39151,OH,40.8139,-81.3656,371516,Stark County,55.8,2022-09-14,Stark,90206.0,1758.0,5.2,57364,24280.51550942624,473.1963091764554
26161,MI,42.2532,-83.8388,368385,Washtenaw County,72.1,2022-09-14,Washtenaw,100148.0,574.0,4.3,77019,27185.688885269486,155.81524763494713
